Date,Open,High,Low,Close,Adj Close,Volume
1970-09-28,6.630609,6.770833,6.610577,6.730769,1.433656,515424
1970-09-29,6.730769,6.961138,6.670673,6.790865,1.446456,691392
1970-09-30,6.790865,6.850962,6.670673,6.760817,1.440055,524160
1970-10-01,6.760817,6.770833,6.690705,6.750801,1.437923,474240
1970-10-02,6.750801,6.850962,6.750801,6.810897,1.450724,339456
1970-10-05,6.810897,6.941106,6.740785,6.850962,1.459258,480480
1970-10-06,6.850962,6.921074,6.810897,6.810897,1.450724,415584
1970-10-07,6.810897,6.840946,6.740785,6.800881,1.448590,340704
1970-10-08,6.810897,6.931090,6.810897,6.820913,1.452857,661440
1970-10-09,6.810897,6.810897,6.730769,6.760817,1.440055,486720
1970-10-12,6.760817,6.760817,6.680689,6.690705,1.425123,134784
1970-10-13,6.690705,6.690705,6.620593,6.620593,1.410189,341952
1970-10-14,6.630609,6.690705,6.630609,6.670673,1.420857,936000
1970-10-15,6.690705,6.810897,6.690705,6.770833,1.442189,416832
1970-10-16,6.760817,6.760817,6.630609,6.670673,1.420857,277056
1970-10-19,6.670673,6.670673,6.610577,6.650641,1.416588,333216
1970-10-20,6.650641,6.740785,6.640625,6.720753,1.431522,314496
1970-10-21,6.770833,6.881010,6.770833,6.810897,1.450724,535392
1970-10-22,6.810897,6.860978,6.800881,6.820913,1.452857,294528
1970-10-23,6.820913,6.941106,6.820913,6.891026,1.467791,424320
1970-10-26,6.891026,7.001202,6.870994,6.901042,1.469923,494208
1970-10-27,6.891026,6.891026,6.840946,6.840946,1.457123,233376
1970-10-28,6.840946,6.921074,6.840946,6.921074,1.474192,468000
1970-10-29,6.921074,6.921074,6.860978,6.881010,1.465658,334464
1970-10-30,6.891026,6.931090,6.891026,6.891026,1.467791,350688
1970-11-02,6.891026,6.931090,6.850962,6.860978,1.461390,405600
1970-11-03,6.860978,7.011218,6.850962,6.971154,1.484859,411840
1970-11-04,6.971154,7.131410,6.941106,7.041266,1.499792,574080
1970-11-05,7.011218,7.011218,6.941106,6.961138,1.482725,375648
1970-11-06,6.961138,6.991186,6.941106,6.951122,1.480592,314496
1970-11-09,6.951122,7.041266,6.951122,6.971154,1.484859,539136
1970-11-10,6.971154,7.001202,6.951122,6.981170,1.486992,459264
1970-11-11,6.981170,7.021234,6.951122,6.961138,1.482725,324480
1970-11-12,6.961138,6.961138,6.850962,6.860978,1.461390,379392
1970-11-13,6.850962,6.850962,6.760817,6.810897,1.450724,658944
1970-11-16,6.810897,6.860978,6.780849,6.790865,1.446456,438048
1970-11-17,6.810897,6.870994,6.810897,6.810897,1.450724,365664
1970-11-18,6.810897,6.860978,6.810897,6.820913,1.452857,809952
1970-11-19,6.820913,6.901042,6.820913,6.870994,1.463524,324480
1970-11-20,6.870994,6.911058,6.860978,6.911058,1.472058,345696
1970-11-23,6.911058,7.001202,6.891026,6.921074,1.474192,626496
1970-11-24,6.921074,6.971154,6.911058,6.971154,1.484859,316992
1970-11-25,6.971154,7.031250,6.971154,7.001202,1.491258,572832
1970-11-27,7.001202,7.051282,7.001202,7.011218,1.493391,313248
1970-11-30,7.011218,7.081330,7.001202,7.081330,1.508325,409344
1970-12-01,7.081330,7.121394,6.971154,7.011218,1.493391,574080
1970-12-02,7.011218,7.121394,6.971154,7.101362,1.512593,957216
1970-12-03,7.101362,7.101362,6.991186,7.031250,1.497658,627744
1970-12-04,7.031250,7.071314,7.001202,7.011218,1.493391,328224
1970-12-07,7.011218,7.031250,6.991186,7.031250,1.508867,607776
1970-12-08,7.031250,7.041266,6.991186,7.001202,1.502419,403104
1970-12-09,7.001202,7.091346,6.961138,7.091346,1.521763,777504
1970-12-10,7.131410,7.211538,7.131410,7.201522,1.545407,610272
1970-12-11,7.231571,7.311699,7.231571,7.291667,1.564751,574080
1970-12-14,7.291667,7.391827,7.261619,7.281651,1.562602,525408
1970-12-15,7.281651,7.291667,7.191506,7.261619,1.558303,348192
1970-12-16,7.261619,7.271635,7.201522,7.271635,1.560452,234624
1970-12-17,7.271635,7.321715,7.251603,7.311699,1.569050,310752
1970-12-18,7.311699,7.401843,7.281651,7.351763,1.577648,587808
1970-12-21,7.351763,7.361779,7.161458,7.201522,1.545407,321984
1970-12-22,7.201522,7.331731,7.141426,7.291667,1.564751,807456
1970-12-23,7.291667,7.371795,7.271635,7.341747,1.575499,789984
1970-12-24,7.341747,7.341747,7.251603,7.271635,1.560452,300768
1970-12-28,7.271635,7.271635,7.151442,7.211538,1.547556,423072
1970-12-29,7.241587,7.371795,7.241587,7.361779,1.579797,596544
1970-12-30,7.361779,7.431891,7.341747,7.401843,1.588394,650208
1970-12-31,7.471955,7.572115,7.471955,7.522035,1.614188,287040
1971-01-04,7.522035,7.572115,7.471955,7.522035,1.614188,338208
1971-01-05,7.522035,7.562099,7.471955,7.562099,1.622785,182208
1971-01-06,7.562099,7.572115,7.461939,7.491987,1.607739,326976
1971-01-07,7.491987,7.522035,7.451923,7.522035,1.614188,302016
1971-01-08,7.512019,7.512019,7.471955,7.502003,1.609889,235872
1971-01-11,7.502003,7.522035,7.471955,7.512019,1.612039,435552
1971-01-12,7.512019,7.542067,7.502003,7.522035,1.614188,309504
1971-01-13,7.522035,7.542067,7.491987,7.502003,1.609889,385632
1971-01-14,7.502003,7.612179,7.481971,7.572115,1.624935,421824
1971-01-15,7.572115,7.652244,7.562099,7.632212,1.637831,529152
1971-01-18,7.632212,7.642228,7.612179,7.632212,1.637831,368160
1971-01-19,7.632212,7.682292,7.632212,7.682292,1.648577,252096
1971-01-20,7.682292,7.732372,7.682292,7.722356,1.657174,285792
1971-01-21,7.722356,8.042869,7.702324,8.022837,1.721656,1087008
1971-01-22,8.293269,8.373397,8.293269,8.313301,1.783988,1059552
1971-01-25,8.313301,8.523638,8.193109,8.453526,1.814081,1688544
1971-01-26,8.403446,8.403446,8.293269,8.293269,1.779690,656448
1971-01-27,8.062901,8.062901,7.942708,8.022837,1.721656,1394016
1971-01-28,8.022837,8.032853,7.912660,8.002804,1.717358,606528
1971-01-29,7.972756,7.972756,7.882612,7.952724,1.706610,601536
1971-02-01,7.952724,8.413462,7.942708,8.393429,1.801183,1309152
1971-02-02,8.353365,8.353365,8.173077,8.223157,1.764645,1033344
1971-02-03,8.223157,8.333333,8.223157,8.253205,1.771092,928512
1971-02-04,8.253205,8.333333,8.203125,8.293269,1.779690,638976
1971-02-05,8.293269,8.393429,8.233173,8.293269,1.779690,770016
1971-02-08,8.293269,8.483574,8.213141,8.433494,1.809780,908544
1971-02-09,8.433494,8.463542,8.333333,8.333333,1.788287,567840
1971-02-10,8.333333,8.413462,8.283253,8.393429,1.801183,630240
1971-02-11,8.393429,8.433494,8.373397,8.373397,1.796885,648960
1971-02-12,8.373397,8.563702,8.373397,8.543670,1.833424,849888
1971-02-16,8.533654,8.533654,8.433494,8.473558,1.818380,589056
1971-02-17,8.423478,8.423478,8.333333,8.333333,1.788287,500448
1971-02-18,8.333333,8.403446,8.313301,8.353365,1.792585,560352
1971-02-19,8.353365,8.363381,8.283253,8.293269,1.779690,415584
1971-02-22,8.283253,8.283253,8.213141,8.253205,1.771092,499200
1971-02-23,8.253205,8.373397,8.243189,8.303285,1.781840,515424
1971-02-24,8.343349,8.493590,8.343349,8.443510,1.811932,728832
1971-02-25,8.473558,8.693910,8.473558,8.663862,1.859218,983424
1971-02-26,8.663862,8.673878,8.553686,8.663862,1.859218,535392
